sentence_index	paper_id	speaker_id	start_sec	end_sec	duration_sec	source	reference	newv9_hyp	tmv4_hyp	norag_hyp	newv9_chrf	tmv4_chrf	norag_chrf	tmv4_minus_newv9_chrf	norag_minus_newv9_chrf	newv9_words	tmv4_words	norag_words	ref_words	term_map_count	term_map	gold_terms	newv9_adopted	newv9_missed	tmv4_adopted	tmv4_missed	newv9_false_copy_from_term_map	newv9_term_tag_chunks_overlapping_sentence
120	2022.acl-long.367	NA	111.089	116.556	5.467	And we need to assess their applicability on low resources and diverse languages as well.	Wir müssen ihre Anwendbarkeit auch bei geringen Ressourcen und in verschiedenen Sprachen bewerten.	wir müssen ihre Anwendbarkeit auf ressourcenarmen und vielfältigen Sprachen ebenfalls bewerten.	Und wir müssen ihre Anwendbarkeit auf ressourcenarme und vielfältige Sprachen ebenfalls bewerten.	müssen ihre Anwendbarkeit auf sprachliche Ressourcen mit geringem Aufwand und vielfältige Sprachen ebenfalls bewerten.	83.673	84.694	95.918	1.020	12.245	11	12	14	13	4	language->Sprache; languages->Sprachen; low resource->ressourcenarmen; resources->Ressourcen	languages->Sprachen; resources->Ressourcen	languages->Sprachen	resources->Ressourcen	languages->Sprachen	resources->Ressourcen	low resource->ressourcenarmen	3
121	2022.acl-long.367	NA	117.777	129.436	11.659	Therefore, we present KinyaBERT, which is a simple but effective adaptation of the BERT architecture that is meant to more effectively handle morphologically rich languages.	Daher präsentieren wir KinyaBERT. Das ist eine einfache, aber effektive Anpassung der BERT-Architektur, die für den effektiveren Umgang mit morphologisch reichen Sprachen gedacht ist.	Daher pr äsentieren wir KinyaBERT,das ein einfacher, aber wirksamer Anpassung des BERT-Architektur ist , die darauf abzielt, morphologisch reich ere Sprachen effektiver zu verarbeiten.	Daher präsentieren wir KinyaBERT, ein einfaches, aber wirksames Anpassung der BERT-Architektur , die darauf abzielt, morphologisch reich er Sprachen effektiver zu verarbeiten.	Daher pr äsentieren wir KINYA BERT, eine einfache, aber wirksame Anpassung der BERT-Architektur, die darauf abzielt, morphologisch reich er Sprachen effektiver zu verarbeiten.Wir bewerten	90.164	86.885	87.978	-3.279	-2.186	25	22	26	25	6	bert->BERT; evaluation->evaluation; kinyabert->KinyaBERT; language->Sprache; languages->Sprachen; morphological->morphologische	BERT->BERT; KinyaBERT->KinyaBERT; languages->Sprachen; morphologically->morphologisch	BERT->BERT; KinyaBERT->KinyaBERT; languages->Sprachen; morphologically->morphologisch		BERT->BERT; KinyaBERT->KinyaBERT; languages->Sprachen; morphologically->morphologisch			3
122	2022.acl-long.367	NA	129.796	141.415	11.619	We evaluate KinyaBERT on Kinyarwanda, a low resource morphologically rich language, which is spoken by more than twelve million people across Eastern and Central Africa.	Wir evaluieren KinyaBERT mit Kinyarwanda, einer ressourcenarmen und morphologisch reichen Sprache, die von mehr als zwölf Millionen Menschen in Ost- und Zentralafrika gesprochen wird.	Wir bewerten KinyaBERT anhand von Kinyarwanda , einer ressourcenarmen, morphologisch reichen Sprache,die von mehr als zwölf Millionen Menschen in Ost- und Zentralafrika gesprochen wird.	Wir bewerten KinyaBERT anhand von Kinyarwanda,einer ressourcenarmen, morphologisch reichen Sprache, die von mehr als zwölf Millionen Menschen in Ost- und Zentralafrika gesprochen wird.	KINYA BERT auf KINYARWANDA , einer sprachlichen Ressource mit geringem Aufwand und morphologisch reich, die von mehr als zwölf Millionen Menschen in Ost- und Zentralafrika gesprochen wird.	96.721	96.175	88.525	-0.546	-8.197	24	24	26	24	7	evaluation->evaluation; kinyabert->KinyaBERT; language->Sprache; languages->Sprachen; low resource->ressourcenarmen; morphological->morphologische; morphologically->morphologisch	KinyaBERT->KinyaBERT; language->Sprache; low resource->ressourcenarmen; morphologically->morphologisch	KinyaBERT->KinyaBERT; language->Sprache; low resource->ressourcenarmen; morphologically->morphologisch		KinyaBERT->KinyaBERT; language->Sprache; low resource->ressourcenarmen; morphologically->morphologisch			4
123	2022.acl-long.367	NA	146.157	150.739	4.582	The input to the model is either a sentence or a document.	Die Eingabe für das Modell ist entweder ein Satz oder ein Dokument.	Die Eingabe f ür das Modell ist entweder ein Satz oder ein Dokument.	Die Eingabe für das Modell ist entweder ein Satz oder ein Dokument.	Die Eingabe für das Modell ist entweder ein Satz oder ein Dokument.	100.000	100.000	100.000	0.000	0.000	13	12	12	12	4	document->Dokument; input->Eingabe; model->Modell; sentence->Satz	document->Dokument; input->Eingabe; model->Modell; sentence->Satz	document->Dokument; input->Eingabe; model->Modell; sentence->Satz		document->Dokument; input->Eingabe; model->Modell; sentence->Satz			4
124	2022.acl-long.367	NA	151.020	159.696	8.676	For example here, we have John twarahamubonye biradutangaza, which means we were surprised to find John there.	Zum Beispiel haben wir hier den Satz: „John twarahamubonye biradutangaza“. Das bedeutet: „Wir waren überrascht, John dort anzutreffen.“	Beispielsweise haben wir hier ein Dokument, das bedeutet, dass wir überrascht waren, John hier zu	Zum Beispiel haben wir hier den Satz „John tuwara hamwe n'ibiro du tanga za“, was bedeutet :Wir waren überrascht, John dort zu finden.	Zum Beispiel haben wir hier John Twara hamubwo n'ibira du tangaza, was bedeutet : Wir waren überrascht, John dort zu	63.704	90.370	80.000	26.667	16.296	15	24	20	18	2	document->Dokument; sentence->Satz						document->Dokument	2
125	2022.acl-long.367	NA	160.038	166.715	6.677	As you can see, Kinyarwanda words contains several morphemes that contain different information in them.	Wie Sie sehen können, enthaltenWörter im Kinyarwanda mehrere Morpheme, die unterschiedliche Informationen enthalten.	finden.Wie Sie sehen können, enthalten Kinyarwanda-Wörter mehrere Morpheme, die verschiedene Informationen enthalten.	Wie Sie sehen können, enthalten Kinyarwanda-Wörter mehrere Morpheme, die unterschiedliche Informationen enthalten.	finden.Wie Sie sehen können, enthalten KINYARWANDA-Wörter mehrere Morpheme, die unterschiedliche Informationen enthalten.	93.103	97.414	92.241	4.310	-0.862	14	13	14	13	2	information->Informationen; morphemes->Morpheme	information->Informationen; morphemes->Morpheme	information->Informationen; morphemes->Morpheme		information->Informationen; morphemes->Morpheme			2
126	2022.acl-long.367	NA	168.556	175.699	7.143	Therefore, in our model, we pass this sentence or a document to a morphological analyzer.	Daher übergeben wir in unserem Modell diesen Satz oder ein Dokument an einen morphologischen Analysator.	Daher verwenden wir in unserem Modell diese Sätze oder Dokumente an eine morphologischen Analysator,der	Daher verwenden wir in unserem Modell diese Sätze oder Dokumente an eine morphologische Analysator	Daher verwenden wir in unserem Modell diese Sätze oder Dokumente an einen morphologischen Analyzer	90.385	89.423	87.500	-0.962	-2.885	15	14	14	15	8	document->Dokument; information->Informationen; model->Modell; morphological->morphologische; morphological analysis->morphologische Analyse; morphological analyzer->morphologischen Analysator; morphologically->morphologisch; sentence->Satz	document->Dokument; model->Modell; morphological->morphologische; morphological analyzer->morphologischen Analysator; sentence->Satz	document->Dokument; model->Modell; morphological->morphologische; morphological analyzer->morphologischen Analysator	sentence->Satz	document->Dokument; model->Modell; morphological->morphologische	morphological analyzer->morphologischen Analysator; sentence->Satz		2
127	2022.acl-long.367	NA	177.505	181.375	3.870	Which then generates morphemes contained in each of the words.	Dieser erzeugt dann Morpheme, die in allen Wörtern enthalten sind.	dann die Morpheme generiert, die in jedem Wort enthalten sind.Die	weiter. Die erzeugt dann die Morpheme, die in den Wörtern enthalten sind.	weiter, der dann Morpheme generiert, die in jedem Wort enthalten sind.Die	86.364	93.939	87.879	7.576	1.515	11	12	12	10	4	generation->Generierung; morphemes->Morpheme; word->Wort; words->Wörtern	morphemes->Morpheme; words->Wörtern	morphemes->Morpheme	words->Wörtern	morphemes->Morpheme; words->Wörtern		word->Wort	2
128	2022.acl-long.367	NA	181.976	186.759	4.783	The morphemes usually are made of the stem and zero or more affixes.	Die Morpheme setzen sich in der Regel aus dem Stamm und null oder mehr Affixen zusammen.	Morpheme bestehen normalerweise aus einer Grundform und null oder mehr Affixen.Die	Die Morpheme bestehen gew öhnlich aus einem Stamm und null oder mehr Affixen.Die	Morpheme bestehen normalerweise aus einer Wurzel und null oder mehr Affixen.Die	79.545	82.955	78.409	3.409	-1.136	12	14	12	16	3	morphemes->Morpheme; word->Wort; words->Wörtern	morphemes->Morpheme	morphemes->Morpheme		morphemes->Morpheme			2
129	2022.acl-long.367	NA	187.261	198.853	11.592	The affixes may indicate tense, aspect, subject or object in verbs, and more often relates to the Bantu noun class for subjects and objects.	Die Affixe können Zeitform, Aspekt, Subjekt oder Objekt in den Verben anzeigen und beziehen sich häufiger auf die Substantivklasse der Bantu für Subjekte und Objekte.	Affixe können Tempus, Aspekt , Subjekt oder Objekt anzeigen. Und häufiger beziehen sie sich auf die Verbindung von Substantiven. Für Subjekte und Objekte.	Affixe können Tempus, Aspekt,Subjekt oder Objekt bei Verben angeben,und häufiger beziehen sie sich auf die Verbindung von Substantiven , Subjekten und Objekten.	Affixe können Tempus, Aspekt, Subjekt oder Objekte in Verben angeben,und häufiger beziehen sie sich auf die Bindung an die Nomenklasse für Subjekte, und Objekte.	87.952	87.952	90.964	0.000	3.012	22	23	25	25	3	aspect->Aspekt; noun->Substantiv; verbs->Verben	aspect->Aspekt; noun->Substantiv; verbs->Verben	aspect->Aspekt; noun->Substantiv	verbs->Verben	aspect->Aspekt; noun->Substantiv; verbs->Verben			0
130	2022.acl-long.367	NA	200.735	206.559	5.824	The morphological analyzer also produces a part of speech tag for each of the words.	Der morphologische Analysator erzeugt auch einen Teil eines Sprach-Tags für jedes der Wörter.	Die morphologische Analyse erzeugt außerdem eine Wortart für jedes Wort.	Die morphologische Analysator erzeugt auch für jedes Wort eine Wortart-Kennung.	Der morphologische Analyzer produziert außerdem für jedes Wort eine Wortart-Kennung.	72.043	76.344	77.419	4.301	5.376	10	11	11	14	7	morphological->morphologische; morphological analysis->morphologische Analyse; morphological analyzer->morphologischen Analysator; morphologically->morphologisch; speech->Sprache; word->Wort; words->Wörtern	morphological->morphologische	morphological->morphologische		morphological->morphologische		morphological analysis->morphologische Analyse; word->Wort	2
131	2022.acl-long.367	NA	207.983	213.295	5.312	After this step, we make embeddings for the spee- for the part of speech tags.	Nach diesem Schritt erstellen wir Einbettungen für den Teil der Sprach-Tags.	Nach diesem Schritt erstellen wir Einbettungen für die Wortarten .	Nach diesem Schritt erstellen wir Einbettungen für die Wortart-Kennungen .	Nach diesem Schritt erstellen wir Eingebettungen für die Wortart -Kennungen. Eingebettungen	81.579	85.526	86.842	3.947	5.263	9	10	11	12	4	embedding->Einbettung; embeddings->Einbettungen; speech->Sprache; words->Wörtern	embeddings->Einbettungen	embeddings->Einbettungen		embeddings->Einbettungen			1
132	2022.acl-long.367	NA	215.585	218.029	2.444	Embeddings for the affixes.	Einbettungen für die Affixe.	Einbettungen f ür die Affixe, und	Einbettungen für die Affixe, und	für die Affixe,	96.429	96.429	50.000	0.000	-46.429	6	5	3	4	2	embedding->Einbettung; embeddings->Einbettungen	embeddings->Einbettungen	embeddings->Einbettungen		embeddings->Einbettungen			1
133	2022.acl-long.367	NA	219.493	221.376	1.883	And embeddings for the stem.	Einbettungen für den Stamm.	Einbettungen für die Grundform.Das	Einbettungen für die Stämme.Das	und Eingebettungen für die Wurzeln.Das	88.889	96.296	85.185	7.407	-3.704	5	5	6	4	2	embedding->Einbettung; embeddings->Einbettungen	embeddings->Einbettungen	embeddings->Einbettungen		embeddings->Einbettungen			1
134	2022.acl-long.367	NA	222.540	228.313	5.773	These are the morphology level, these are the morphology level embeddings.	Dies sind die Einbettungen auf Morphologie-Ebene.	sind die Morphologie-Etiketten. Dann übergeben	sind die morphologischen Etiketten, das sind die morphologischen Etiketten und	sind die morphologischen Etiketten, das sind die morphologischen Etiketten -Eingebettungen.	85.714	83.673	89.796	-2.041	4.082	6	10	10	7	5	embedding->Einbettung; embeddings->Einbettungen; morphological->morphologische; morphologically->morphologisch; morphology->Morphologie	embeddings->Einbettungen; Morphology->Morphologie	Morphology->Morphologie	embeddings->Einbettungen		embeddings->Einbettungen; Morphology->Morphologie		1
135	2022.acl-long.367	NA	229.525	238.917	9.392	We then pass these embeddings through a morphology encoder, which is a small transformer encoder that is applied to each word independently.	Anschließend durchlaufen diese Einbettungen einen Morphologie-Encoder, der ein kleiner Transformer-Encoder ist, der auf jedes Wort unabhängig angewendet wird.	wir diese Einbettungen an einen Morphologie-Encoder, der ein kleines Transformer-Encoder ist, der auf jedes Wort unabhängig angewendet wird.	Einbettungen. Dann übergeben wir diese Einbettungen an einen morphologischen Encoder,der ein kleines Transformer-Encoder ist, das auf jedes Wort unabhängig angewendet wird.	Dann leiten wir diese Eingebettungen durch einen morphologischen Encoder weiter,der ein kleines Transformer-Encoder ist, der auf jedes Wort unabhängig angewendet wird.	87.975	91.772	94.937	3.797	6.962	20	23	23	20	14	annotated corpus->annotierter Korpus; decoder->Decoders; embedding->Einbettung; embeddings->Einbettungen; encoder->Encoder; morphological->morphologische; morphologically->morphologisch; morphology->Morphologie; parser->Parser; transformer->Transformer; transformer encoder->Transformer-Encoder; transformers->Transformer; word->Wort; words->Wörtern	embeddings->Einbettungen; encoder->Encoder; Morphology->Morphologie; transformer->Transformer; transformer encoder->Transformer-Encoder; word->Wort	embeddings->Einbettungen; encoder->Encoder; Morphology->Morphologie; transformer->Transformer; transformer encoder->Transformer-Encoder; word->Wort		embeddings->Einbettungen; encoder->Encoder; transformer->Transformer; transformer encoder->Transformer-Encoder; word->Wort	Morphology->Morphologie		6
136	2022.acl-long.367	NA	240.360	247.735	7.375	The output of the are the vectors that are contextualized with the morphological information at each word.	Ausgegeben werden die Vektoren, die mit den morphologischen Informationen bei jedem Wort kontextualisiert werden.	Der Ausgang des R ist, dass die Vektoren mit den morphologischen Informationen an jedem Wort kontextualisiert werden.	Die Ausgabe des Vektors besteht aus kontextualisierten Vektoren mit morphologischen Informationen zu jedem Wort. Jetzt	Die Ausgabe des R sind die Vektoren, die mit morphologischen Informationen kontextualisiert werden.	92.035	84.956	82.301	-7.080	-9.735	17	15	13	14	8	contextualized->kontextualisierte; information->Informationen; morphological->morphologische; morphologically->morphologisch; vector->Vektor; vectors->Vektoren; word->Wort; words->Wörtern	information->Informationen; morphological->morphologische; vectors->Vektoren; word->Wort	information->Informationen; morphological->morphologische; vectors->Vektoren; word->Wort		information->Informationen; morphological->morphologische; vectors->Vektoren; word->Wort			5
137	2022.acl-long.367	NA	248.755	257.507	8.752	Now, we perform composition where the morphological embeddings corresponding to part of speech and stem are concatenated together.	Nun führen wir eine Komposition durch, bei der die morphologischen Einbettungen, die der Sprache und dem Wortstamm entsprechen, miteinander verkettet werden.	Jetzt führen wir die Komposition durch, bei der die morphologischen Einbettungen, die den Wortarten und der Grundform entsprechen, zusammengefügt werden.Wir fügen	führen wir die Komposition durch, bei der die morphologischen Einbettungen , die Wortart und Stamm entsprechen, zusammengefügt werden.Wir fügen	Jetzt führen wir die Komposition durch, bei der die morphologischen Eingebettungen , die Wortart und Wurzel entsprechen, zusammengefügt werden.Wir fügen	91.720	85.350	86.624	-6.369	-5.096	22	19	20	21	9	aqa->AQA; corresponding->passend; embedding->Einbettung; embeddings->Einbettungen; morphological->morphologische; morphologically->morphologisch; speech->Sprache; word->Wort; words->Wörtern	embeddings->Einbettungen; morphological->morphologische; speech->Sprache	embeddings->Einbettungen; morphological->morphologische	speech->Sprache	embeddings->Einbettungen; morphological->morphologische	speech->Sprache		2
138	2022.acl-long.367	NA	257.721	264.413	6.692	We further concat we further concatenate them with another stem embedding at the sentence level.	Wir verketten sie mit einer weiteren Einbettung des Stammes auf der Ebene des Satzes.	sie weiterhin mit einem weiteren Grundform-Einbettung auf Satz-Ebene zusammen.Dann führen	sie weiterhin mit einem weiteren Stamm-Einbettung auf Satzebene zusammen.Dann bilden	sie weiter mit einem weiteren Wurzel-Eingebettung auf Satzebene zusammen,und bilden dann	77.647	76.471	81.176	-1.176	3.529	13	12	13	14	3	embedding->Einbettung; embeddings->Einbettungen; sentence->Satz	embedding->Einbettung; sentence->Satz	embedding->Einbettung; sentence->Satz		embedding->Einbettung; sentence->Satz			1
139	2022.acl-long.367	NA	265.175	269.467	4.292	Then we form an input to the main sentence or document encoder.	Dann erstellen wir eine Eingabe für den Hauptsatz oder den Dokument-Encoder.	wir Manipulationen an den Haupt-Satz- oder Dokument-Encoder durch.	wir Eingaben für das Haupt-Satz- oder Dokument-Encoder.	Eingaben für das Haupt-Satz- oder Dokument-Encoder.	72.368	68.421	63.158	-3.947	-9.211	10	9	8	12	4	document->Dokument; domains->Domänen; encoder->Encoder; sentence->Satz	document->Dokument; encoder->Encoder; input->Eingabe	document->Dokument; encoder->Encoder	input->Eingabe	document->Dokument; encoder->Encoder; input->Eingabe			3
140	2022.acl-long.367	NA	270.869	277.576	6.707	The final output are contextualized embeddings that can be used for downstream NLP tasks.	Die Endausgabe sind kontextualisierte Einbettungen, die für nachgelagerte NLP-Aufgaben verwendet werden können.	Der endgültige Ausgang sind kontextualisierte Einbettungen, die für nachgelagerte NLP-Aufgaben verwendet werden können.	Die endgültigen Ausgaben sind kontextualisierte Einbettungen , die für nachgelagerte NLP-Aufgaben verwendet werden können.	Die endgültige Ausgabe sind kontextualisierte Eingebettungen , die für nachgeschaltete NLP-Aufgaben verwendet werden können.	97.297	98.198	97.297	0.901	0.000	14	14	14	13	7	contextualized->kontextualisierte; downstream->nachgelagerte; embedding->Einbettung; embeddings->Einbettungen; nlp->NLP; nlp task->NLP-Aufgabe; tasks->Aufgaben	contextualized->kontextualisierte; downstream->nachgelagerte; embeddings->Einbettungen; NLP->NLP; tasks->Aufgaben	contextualized->kontextualisierte; downstream->nachgelagerte; embeddings->Einbettungen; NLP->NLP; tasks->Aufgaben		contextualized->kontextualisierte; downstream->nachgelagerte; embeddings->Einbettungen; NLP->NLP; tasks->Aufgaben			3
141	2022.acl-long.367	NA	278.960	289.769	10.809	For a morphological analyzer, we use finite state two level morphology principles with custom implementation that is tailored to the Kinyarwanda language.	Für einen morphologischen Analysator verwenden wir Morphologie-Prinzipien mit endlichen Automaten auf zwei Ebenen und mit einer maßgeschneiderten Implementierung, die auf die Sprache Kinyarwanda zugeschnitten ist.	Für unsere morphologische Analyse verwenden wir einen endlichen Zustandszwei -Ebenen-Morphologie-Ansatz mit einer kundenspezifischen Implementierung, die auf die Kinyarwanda-Sprache zugeschnitten ist.	Für unsere morphologische Analysator verwenden wir einen endlichen Zustandszwei-Ebenen -Morphologie-Prinzip mit einer benutzerdefinierten Implementierung, die auf die Kinyarwanda-Sprache zugeschnitten ist.	Für unsere morphologische Analyse verwenden wir endliche Zustandszweistufige morphologische Prinzipien mit benutzerdefinierten Implementierungen, die auf die Kinyarwanda-Sprache zugeschnitten sind.	88.732	91.080	88.263	2.347	-0.469	23	23	20	26	9	language->Sprache; languages->Sprachen; morphological->morphologische; morphological analysis->morphologische Analyse; morphological analyzer->morphologischen Analysator; morphologically->morphologisch; morphology->Morphologie; nlp task->NLP-Aufgabe; tasks->Aufgaben	language->Sprache; morphological->morphologische; morphological analyzer->morphologischen Analysator; Morphology->Morphologie	language->Sprache; morphological->morphologische; Morphology->Morphologie	morphological analyzer->morphologischen Analysator	language->Sprache; morphological->morphologische; Morphology->Morphologie	morphological analyzer->morphologischen Analysator	morphological analysis->morphologische Analyse	1
142	2022.acl-long.367	NA	290.250	301.371	11.121	We effectively model the morphology of all Kinyarwanda words, including verbals, nouns, demonstrative and possessive pronouns, numerals, and others.	Wir modellieren die Morphologie aller Wörter auf Kinyarwanda, einschließlich der Verben, Substantive, Demonstrativ- und Possessivpronomen, Numerale und andere.	Wir modellieren effektiv die Morphologie aller Kinyarwanda-Wörter,einschließlich Verben, Substantive, Demonstrativ- und Possessiv -Pronomen,Zahlen und andere.	Wir modellieren effektiv die Morphologie aller Kinyarwanda-Wörter,einschlie ßlich Verben, Substantive, Demonstrativ- und Possessivpronomen, Numerale und andere.	Wir modellieren effektiv die Morphologie aller Kinyarwanda-Wörter, einschließlich Verben, Substantive, Demonstrativ- und Possessivpronomen, Numerale und andere.	92.453	96.226	96.226	3.774	3.774	18	18	17	18	9	language->Sprache; model->Modell; morphological->morphologische; morphologically->morphologisch; morphology->Morphologie; noun->Substantiv; nouns->Substantive; pronouns->Pronomen; propose->vorzuschlagen	Morphology->Morphologie; nouns->Substantive	Morphology->Morphologie; nouns->Substantive		Morphology->Morphologie; nouns->Substantive			3
143	2022.acl-long.367	NA	302.092	305.776	3.684	We use an unsupervised part of speech tagging algorithm.	Wir verwenden einen nicht überwachten Teil eines Sprach-Tagging-Algorithmus.	Wir verwenden eine nicht überwachten Tagging</ >-Algorithmen, um	Wir verwenden einen nicht überwachten Wortart-Tagging -Algorithmus.Ein Faktorenmodell	Wir verwenden eine unüberwachte Wortart-Tagging -Algorithmus, einen Faktor-Modell,	77.632	89.474	84.211	11.842	6.579	8	10	10	10	6	algorithm->Algorithmus; algorithms->Algorithmen; speech->Sprache; tagging->Tagging; unsupervised->nicht überwachten; user->Benutzer	algorithm->Algorithmus; tagging->Tagging; unsupervised->nicht überwachten	tagging->Tagging; unsupervised->nicht überwachten	algorithm->Algorithmus	algorithm->Algorithmus; tagging->Tagging; unsupervised->nicht überwachten		algorithms->Algorithmen	2
144	2022.acl-long.367	NA	306.180	316.328	10.148	A first order factored model is used to account for morphology probability, basically the probability that is assigned by the morphological analyzer.	Ein faktorisiertes Modell erster Ordnung wird verwendet, um die Morphologie-Wahrscheinlichkeit zu berücksichtigen, d. h. die Wahrscheinlichkeit, die vom morphologischen Analysator zugewiesen wird.	ein Faktor-Modell zu erstellen, das die Morphologie-Wahrscheinlichkeit berücksichtigt, also im Wesentlichen die Wahrscheinlichkeit, die dem morphologischen Analysator zugewiesen wird,	wird verwendet, um die Morphologie wahrscheinlichkeit zu berücksichtigen, also im Wesentlichen die Wahrscheinlichkeit, die vom morphologischen Analysator zugewiesen wird,	das die Morphologie-Wahrscheinlichkeit berücksichtigt, also im Grunde die Wahrscheinlichkeit, die von der morphologischen Analyse zugewiesen wird.	87.245	84.694	73.980	-2.551	-13.265	21	19	17	23	7	algorithm->Algorithmus; algorithms->Algorithmen; morphological->morphologische; morphological analysis->morphologische Analyse; morphological analyzer->morphologischen Analysator; morphologically->morphologisch; morphology->Morphologie	model->Modell; morphological->morphologische; morphological analyzer->morphologischen Analysator; Morphology->Morphologie	model->Modell; morphological->morphologische; morphological analyzer->morphologischen Analysator; Morphology->Morphologie		morphological->morphologische; morphological analyzer->morphologischen Analysator; Morphology->Morphologie	model->Modell		2
145	2022.acl-long.367	NA	316.610	327.036	10.426	We also take into consideration the part of speech tag precedence as well as the syntactic agreements that are present in the in the input words.	Wir berücksichtigen auch den Vorrang der Sprach-Tags sowie die syntaktischen Vereinbarungen, die in den eingegebenen Wörtern vorhanden sind.	wir berücksichtigen außerdem den Taggers-Evidenz sowie die vorhandenen syntaktischen Übereinstimmungen in der Eingabe. Die Taggers verwenden	wir berücksichtigen außerdem den vorhergehenden Wortart-Tag sowie die vorhandenen syntaktischen Übereinstimmungen in der Eingabe -Wörtern. Die Wortart-Tagger	Wir berücksichtigen auch den Wortart-Tag-Vorrang sowie die vorhandenen syntaktischen Übereinstimmungen in den Eingabewörtern. Die Wortart-Tagger verwenden	85.714	91.429	92.143	5.714	6.429	17	19	19	19	11	input->Eingabe; morphological->morphologische; morphological analysis->morphologische Analyse; morphological analyzer->morphologischen Analysator; morphologically->morphologisch; semantic->Semantic; speech->Sprache; syntactic->syntaktischen; syntax->Syntax; tagger->Taggers; words->Wörtern	syntactic->syntaktischen; words->Wörtern	syntactic->syntaktischen	words->Wörtern	syntactic->syntaktischen; words->Wörtern		tagger->Taggers	4
146	2022.acl-long.367	NA	328.582	339.209	10.627	The part of speech tagger uses a bidi bidirectional inference which improves upon the more often used Viterbi algorithm for decoding.	Der Teil des Sprach-Taggers verwendet eine bidirektionale Inferenz, die den häufiger verwendeten Viterbi-Algorithmus für die Dekodierung verbessert.	ein bidirektionale Inferenzmodell, das auf dem häufig verwendeten Viterbi -Algorithmus für die Dekodierung basiert.	verwenden ein bidirektionales Inferenzmodell, das auf dem häufiger verwendeten Viterbi -Algorithmus für die Dekodierung basiert.	ein bidirektionales Inferenzmodell, das auf der häufiger verwendeten Viterbi -Algorithmus für die Decodierung basiert.	72.973	81.757	75.676	8.784	2.703	14	15	14	19	8	algorithm->Algorithmus; algorithms->Algorithmen; bidirectional->bidirektionale; decoding->Dekodierung; encoding->Kodierung; inference->Inferenz; speech->Sprache; tagger->Taggers	algorithm->Algorithmus; bidirectional->bidirektionale; decoding->Dekodierung; inference->Inferenz; tagger->Taggers	algorithm->Algorithmus; bidirectional->bidirektionale; decoding->Dekodierung; inference->Inferenz	tagger->Taggers	algorithm->Algorithmus; bidirectional->bidirektionale; decoding->Dekodierung; inference->Inferenz	tagger->Taggers		4
147	2022.acl-long.367	NA	341.365	344.212	2.847	A few remarks here for positional encoding.	Hier noch ein paar Anmerkungen zur Positionskodierung.	Ein ige Bemerkungen hier zur Positionskodierung.Erstens,	Ein paar Bemerkungen hier zur Positionskodierung	Einige Bemerkungen hier zur Positionskodierung.Eins,	83.333	85.185	79.630	1.852	-3.704	7	6	6	7	3	decoding->Dekodierung; encoding->Kodierung; positional encoding->Positionskodierung	positional encoding->Positionskodierung	positional encoding->Positionskodierung		positional encoding->Positionskodierung			1
148	2022.acl-long.367	NA	344.934	349.325	4.391	One, the morphology encoder does not use any positional encoding.	Erstens verwendet der Morphologie-Encoder keine Positionskodierung.	Der Morphologie-Encoder verwendet keine Positionskodierung.	.Erstens, Der Morphologie-Encoder verwendet keine Positionskodierung.	der Morphologie-Encoder verwendet keine Positionskodierung.	86.567	98.507	88.060	11.940	1.493	6	7	6	7	6	decoding->Dekodierung; encoder->Encoder; encoding->Kodierung; morphologically->morphologisch; morphology->Morphologie; positional encoding->Positionskodierung	encoder->Encoder; Morphology->Morphologie; positional encoding->Positionskodierung	encoder->Encoder; Morphology->Morphologie; positional encoding->Positionskodierung		encoder->Encoder; Morphology->Morphologie; positional encoding->Positionskodierung			3
149	2022.acl-long.367	NA	349.367	354.336	4.969	This is because each of the morphemes occupies a known slot in the morphological model.	Das liegt daran, dass jedes der Morpheme einen bekannten Platz im morphologischen Modell einnimmt.	Dies liegt daran, dass jedes der Morpheme eine bekannte Position im morphologischen Modell einnimmt,	Dies liegt daran, dass jedes der Morpheme einen bekannten Platz im morphologischen Modell einnimmt,	Das liegt daran, dass jedes der Morpheme eine bekannte Position im morphologischen Modell einnimmt,	93.878	97.959	94.898	4.082	1.020	14	14	14	14	8	decoding->Dekodierung; encoder->Encoder; encoding->Kodierung; morphemes->Morpheme; morphological->morphologische; morphologically->morphologisch; morphology->Morphologie; positional encoding->Positionskodierung	model->Modell; morphemes->Morpheme; morphological->morphologische	model->Modell; morphemes->Morpheme; morphological->morphologische		model->Modell; morphemes->Morpheme; morphological->morphologische			2
150	2022.acl-long.367	NA	354.536	359.461	4.925	Therefore, positional information is inherent when the morphemes are given.	Daher ist die positionelle Information inhärent, wenn die Morpheme gegeben sind.	Daher sind Positionskodierung und Informationen inhärent, wenn die Morpheme bereitgestellt werden.Zweitens,	weshalb die Positionsinformation inhärent ist, wenn die Morpheme bereitgestellt werden.Zweitens,	daher ist die Positionsinformation inhärent, wenn die Morpheme gegeben werden.Zweitens,	98.750	93.750	92.500	-5.000	-6.250	12	11	11	11	4	information->Informationen; morphemes->Morpheme; morphological->morphologische; morphologically->morphologisch	morphemes->Morpheme	morphemes->Morpheme		morphemes->Morpheme			3
